"filename", "language", "C++", "comment", "blank", "total"
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\message.grpc.pb.h", "C++", -870, -52, -13, -935
"e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\message.pb.h", "C++", -3825, -324, -362, -4511
"e:\qt_project\SyncCanvas\CanvasServer2\src\message.grpc.pb.cc", "C++", -224, -3, -47, -274
"e:\qt_project\SyncCanvas\CanvasServer2\src\message.pb.cc", "C++", -3522, -317, -302, -4141
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\message.grpc.pb.h", "C++", -870, -52, -13, -935
"e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\message.pb.h", "C++", -3825, -324, -362, -4511
"e:\qt_project\SyncCanvas\CanvasServer\src\message.grpc.pb.cc", "C++", -224, -3, -47, -274
"e:\qt_project\SyncCanvas\CanvasServer\src\message.pb.cc", "C++", -3522, -317, -302, -4141
"e:\qt_project\SyncCanvas\DBClient\message.grpc.pb.cc", "C++", -224, -3, -47, -274
"e:\qt_project\SyncCanvas\DBClient\message.grpc.pb.h", "C++", -870, -52, -13, -935
"e:\qt_project\SyncCanvas\DBClient\message.pb.cc", "C++", -3522, -317, -302, -4141
"e:\qt_project\SyncCanvas\DBClient\message.pb.h", "C++", -3825, -324, -362, -4511
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\message.grpc.pb.h", "C++", -870, -52, -13, -935
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\message.pb.h", "C++", -3105, -258, -296, -3659
"e:\qt_project\SyncCanvas\GateServer\src\message.grpc.pb.cc", "C++", -224, -3, -47, -274
"e:\qt_project\SyncCanvas\GateServer\src\message.pb.cc", "C++", -2862, -251, -248, -3361
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\message.grpc.pb.h", "C++", -870, -52, -13, -935
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\message.pb.h", "C++", -3105, -258, -296, -3659
"e:\qt_project\SyncCanvas\LogicServer\src\message.grpc.pb.cc", "C++", -224, -3, -47, -274
"e:\qt_project\SyncCanvas\LogicServer\src\message.pb.cc", "C++", -2862, -251, -248, -3361
"Total", "-", -39445, -3216, -3380, -46041